id,common_name,latitude,longitude,neighborhood,scientific_name
1997760659,Elm: spp.,40.45258035,-80.00996315,Allegheny Center,Ulmus spp.
183616862,Pagodatree: Japanese,40.45270288,-80.01039115,Allegheny Center,Styphnolobium japonicum
1352197465,Elm: spp.,40.45267781,-80.00991232,Allegheny Center,Ulmus spp.
1864367951,Elm: spp.,40.45271539,-80.00975125,Allegheny Center,Ulmus spp.
1566002007,Oak: Scarlet,40.4528674,-80.0097388,Allegheny Center,Quercus coccinea
1034525950,Pear: Callery,40.45277259,-80.00965446,Allegheny Center,Pyrus calleryana
430439782,Crabapple: Flowering,40.45270427,-80.0096251,Allegheny Center,Malus spp.
1804606826,Honeylocust: Thornless,40.4525678,-80.00955741,Allegheny Center,Gleditsia triacanthos inermis
938536843,Elm: spp.,40.45249594,-80.00935659,Allegheny Center,Ulmus spp.
346459370,Elm: spp.,40.45241562,-80.00958836,Allegheny Center,Ulmus spp.
1192297724,Linden: Littleleaf,40.45237874,-80.0097134,Allegheny Center,Tilia cordata
318454452,Honeylocust: Thornless,40.45243223,-80.00979636,Allegheny Center,Gleditsia triacanthos inermis
728661017,Tupelo: Black,40.45230019,-80.00985505,Allegheny Center,Nyssa sylvatica
1702784522,Zelkova: Japanese,40.45216997,-80.009916,Allegheny Center,Zelkova serrata
1700287388,Oak: Northern Red,40.45202626,-80.00986611,Allegheny Center,Quercus rubra
599524120,Elm: spp.,40.45210057,-80.00958902,Allegheny Center,Ulmus spp.
149993146,Elm: spp.,40.4522104,-80.00961075,Allegheny Center,Ulmus spp.
1109135080,Oak: Swamp White,40.45219519,-80.00933066,Allegheny Center,Quercus bicolor
1170298229,Oak: Scarlet,40.45218582,-80.00910486,Allegheny Center,Quercus coccinea
366475995,Oak: Northern Red,40.45236043,-80.00898444,Allegheny Center,Quercus rubra
